Mon May  5 10:04:18 -10 2025 | GPU:  | CPU: CPU usage: 2.21% user, 9.59% sys, 88.19% idle 
Mon May  5 10:04:28 -10 2025 | GPU:  | CPU: CPU usage: 2.90% user, 9.9% sys, 88.0% idle 
Mon May  5 10:04:39 -10 2025 | GPU:  | CPU: CPU usage: 2.23% user, 8.95% sys, 88.80% idle 
Mon May  5 10:04:49 -10 2025 | GPU:  | CPU: CPU usage: 2.18% user, 9.85% sys, 87.95% idle 
Mon May  5 10:05:00 -10 2025 | GPU:  | CPU: CPU usage: 2.26% user, 9.5% sys, 88.67% idle 
Mon May  5 10:05:10 -10 2025 | GPU:  | CPU: CPU usage: 2.22% user, 9.25% sys, 88.51% idle 
Mon May  5 10:05:21 -10 2025 | GPU:  | CPU: CPU usage: 2.60% user, 8.55% sys, 88.84% idle 
Mon May  5 10:05:31 -10 2025 | GPU:  | CPU: CPU usage: 2.21% user, 9.22% sys, 88.56% idle 
Mon May  5 10:05:42 -10 2025 | GPU:  | CPU: CPU usage: 2.94% user, 10.29% sys, 86.76% idle 
Mon May  5 10:05:53 -10 2025 | GPU:  | CPU: CPU usage: 2.61% user, 8.58% sys, 88.80% idle 
